iter	Passed	Remaining
438	1377	1759
439	1378	1754
440	1380	1750
441	1383	1746
442	1386	1743
443	1388	1739
444	1392	1736
445	1395	1733
446	1398	1729
447	1400	1725
448	1404	1723
449	1407	1720
450	1411	1717
451	1413	1713
452	1415	1709
453	1418	1705
454	1422	1703
455	1425	1700
456	1427	1695
457	1429	1691
458	1431	1687
459	1433	1683
460	1436	1679
461	1439	1676
462	1441	1672
463	1443	1667
464	1447	1665
465	1449	1661
466	1453	1659
467	1457	1656
468	1460	1653
469	1462	1648
470	1466	1647
471	1470	1644
472	1474	1642
473	1476	1638
474	1480	1636
475	1483	1632
476	1487	1631
477	1491	1628
478	1494	1625
479	1497	1622
480	1500	1619
481	1505	1618
482	1508	1614
483	1512	1612
484	1517	1610
485	1520	1607
486	1523	1604
487	1527	1602
488	1532	1601
489	1536	1599
490	1539	1595
491	1543	1593
492	1546	1590
493	1551	1588
494	1553	1585
495	1558	1583
496	1561	1580
497	1566	1578
498	1568	1574
499	1571	1571
500	1574	1568
501	1577	1564
502	1580	1561
503	1582	1557
504	1584	1553
505	1587	1550
506	1591	1547
507	1594	1543
508	1596	1540
509	1598	1535
510	1601	1532
511	1604	1528
512	1606	1525
513	1609	1521
514	1611	1517
515	1613	1513
516	1615	1509
517	1619	1506
518	1621	1503
519	1625	1500
520	1627	1496
521	1629	1492
522	1632	1489
523	1635	1485
524	1638	1482
525	1640	1478
526	1642	1474
527	1645	1470
528	1648	1467
529	1651	1464
530	1654	1461
531	1657	1457
532	1659	1453
533	1661	1449
534	1664	1447
535	1667	1443
536	1671	1440
537	1673	1436
538	1675	1432
539	1677	1428
540	1681	1426
541	1684	1423
542	1687	1420
543	1689	1416
544	1691	1412
545	1694	1408
546	1697	1405
547	1700	1402
548	1703	1399
549	1705	1395
550	1708	1392
551	1713	1390
552	1718	1388
553	1722	1386
554	1725	1383
555	1733	1384
556	1736	1381
557	1741	1379
558	1745	1377
559	1749	1374
560	1753	1372
561	1760	1372
562	1763	1369
563	1766	1365
564	1769	1362
565	1771	1358
566	1776	1356
567	1778	1352
568	1780	1348
569	1782	1344
570	1786	1342
571	1790	1339
572	1792	1335
573	1795	1332
574	1802	1332
575	1807	1330
576	1812	1328
577	1816	1326
578	1820	1323
579	1823	1320
580	1825	1316
581	1827	1312
582	1830	1309
583	1834	1306
584	1838	1304
585	1840	1300
586	1843	1296
587	1845	1293
588	1849	1290
589	1853	1287
590	1857	1285
591	1860	1282
592	1864	1279
593	1867	1276
594	1872	1274
595	1875	1271
596	1881	1270
597	1885	1267
598	1890	1265
599	1894	1263
600	1898	1260
601	1901	1257
602	1904	1254
603	1908	1251
604	1912	1248
605	1915	1245
606	1918	1242
607	1920	1238
608	1923	1234
609	1926	1231
610	1929	1228
611	1932	1225
612	1935	1221
613	1937	1217
614	1940	1214
615	1942	1211
616	1945	1207
617	1948	1204
618	1950	1200
619	1952	1196
620	1955	1193
621	1958	1190
622	1961	1186
623	1963	1183
624	1965	1179
625	1967	1175
626	1972	1173
627	1977	1171
628	1980	1168
629	1982	1164
630	1985	1160
631	1988	1157
632	1991	1154
633	1993	1150
634	1995	1147
635	1998	1143
636	2001	1140
637	2007	1139
638	2009	1135
639	2012	1131
640	2014	1128
641	2016	1124
642	2019	1121
643	2023	1118
644	2024	1114
645	2026	1110
646	2028	1107
647	2031	1103
648	2034	1100
649	2037	1096
650	2039	1093
651	2041	1089
652	2043	1085
653	2045	1082
654	2048	1078
655	2050	1075
656	2053	1072
657	2055	1068
658	2057	1064
659	2059	1060
660	2061	1057
661	2064	1053
662	2066	1050
663	2069	1046
664	2070	1043
665	2072	1039
666	2075	1036
667	2078	1032
668	2081	1029
669	2083	1025
670	2085	1022
671	2087	1018
672	2089	1015
673	2091	1011
674	2094	1008
675	2097	1005
676	2100	1001
677	2102	998
678	2104	994
679	2106	991
680	2109	988
681	2112	984
682	2114	981
683	2116	977
684	2118	974
685	2121	970
686	2123	967
687	2126	964
688	2129	961
689	2131	957
690	2133	954
691	2135	950
692	2138	947
693	2140	944
694	2143	940
695	2145	937
696	2147	933
697	2149	929
698	2151	926
699	2153	923
700	2156	919
701	2158	916
702	2160	912
703	2162	909
704	2164	905
705	2166	902
706	2168	898
707	2171	895
708	2173	891
709	2175	888
710	2177	884
711	2178	881
712	2180	877
713	2183	874
714	2185	871
715	2188	868
716	2190	864
717	2192	861
718	2194	857
719	2196	854
720	2198	850
721	2200	847
722	2203	844
723	2205	840
724	2206	837
725	2208	833
726	2210	830
727	2212	826
728	2215	823
729	2218	820
730	2220	816
731	2222	813
732	2224	810
733	2225	806
734	2227	803
735	2229	799
736	2232	796
737	2235	793
738	2237	790
739	2239	786
740	2240	783
741	2242	779
742	2245	776
743	2248	773
744	2250	770
745	2252	766
746	2253	763
747	2255	759
748	2257	756
749	2261	753
750	2263	750
751	2266	747
752	2267	743
753	2269	740
754	2271	737
755	2273	733
756	2276	730
757	2279	727
758	2281	724
759	2283	721
760	2285	717
761	2287	714
762	2290	711
763	2293	708
764	2295	705
765	2297	701
766	2299	698
767	2301	695
768	2303	691
769	2304	688
770	2307	685
771	2310	682
772	2311	678
773	2313	675
774	2315	672
775	2317	668
776	2319	665
777	2321	662
778	2324	659
779	2326	656
780	2327	652
781	2329	649
782	2330	646
783	2333	642
784	2334	639
785	2337	636
786	2340	633
787	2342	630
788	2344	626
789	2346	623
790	2348	620
791	2351	617
792	2354	614
793	2357	611
794	2358	608
795	2361	605
796	2362	601
797	2364	598
798	2367	595
799	2370	592
800	2372	589
801	2374	586
802	2376	583
803	2379	579
804	2380	576
805	2383	573
806	2385	570
807	2387	567
808	2389	564
809	2390	560
810	2392	557
811	2394	554
812	2395	550
813	2397	547
814	2399	544
815	2401	541
816	2403	538
817	2405	535
818	2407	532
819	2409	528
820	2411	525
821	2414	522
822	2417	519
823	2419	516
824	2420	513
825	2422	510
826	2424	507
827	2426	503
828	2428	500
829	2431	497
830	2433	494
831	2435	491
832	2438	488
833	2440	485
834	2443	482
835	2446	479
836	2448	476
837	2450	473
838	2453	470
839	2455	467
840	2458	464
841	2461	461
842	2463	458
843	2465	455
844	2468	452
845	2470	449
846	2472	446
847	2474	443
848	2477	440
849	2479	437
850	2482	434
851	2484	431
852	2486	428
853	2488	425
854	2491	422
855	2494	419
856	2496	416
857	2497	413
858	2500	410
859	2502	407
860	2504	404
861	2507	401
862	2510	398
863	2512	395
864	2514	392
865	2516	389
866	2518	386
867	2521	383
868	2524	380
869	2526	377
870	2528	374
871	2530	371
872	2532	368
873	2534	365
874	2537	362
875	2539	359
876	2541	356
877	2543	353
878	2546	350
879	2548	347
880	2550	344
881	2553	341
882	2556	338
883	2558	335
884	2560	332
885	2562	329
886	2564	326
887	2566	323
888	2569	320
889	2571	317
890	2573	314
891	2575	311
892	2577	308
893	2579	305
894	2580	302
895	2583	299
896	2585	296
897	2587	293
898	2589	290
899	2591	287
900	2592	284
901	2594	281
902	2597	279
903	2600	276
904	2602	273
905	2604	270
906	2606	267
907	2607	264
908	2609	261
909	2611	258
910	2614	255
911	2616	252
912	2618	249
913	2620	246
914	2622	243
915	2624	240
916	2626	237
917	2629	234
918	2631	231
919	2633	229
920	2635	226
921	2637	223
922	2639	220
923	2642	217
924	2645	214
925	2647	211
926	2649	208
927	2651	205
928	2653	202
929	2656	199
930	2658	197
931	2660	194
932	2662	191
933	2664	188
934	2667	185
935	2669	182
936	2673	179
937	2675	176
938	2678	173
939	2680	171
940	2682	168
941	2685	165
942	2688	162
943	2690	159
944	2693	156
945	2696	153
946	2699	151
947	2701	148
948	2704	145
949	2707	142
950	2708	139
951	2711	136
952	2713	133
953	2716	130
954	2719	128
955	2722	125
956	2725	122
957	2728	119
958	2731	116
959	2734	113
960	2737	111
961	2739	108
962	2741	105
963	2743	102
964	2745	99
965	2748	96
966	2751	93
967	2753	91
968	2755	88
969	2757	85
970	2759	82
971	2761	79
972	2764	76
973	2767	73
974	2769	71
975	2771	68
976	2773	65
977	2775	62
978	2777	59
979	2780	56
980	2782	53
981	2784	51
982	2786	48
983	2788	45
984	2789	42
985	2791	39
986	2794	36
987	2797	33
988	2799	31
989	2801	28
990	2802	25
991	2805	22
992	2806	19
993	2809	16
994	2812	14
995	2814	11
996	2816	8
997	2818	5
998	2821	2
999	2823	0
